,model_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
svm_linear,svm_linear,0.9858156028368794,0.9889301541569301,0.9859269453588771,0.9875902704098404,0.9858156028368794,0.9882208266291461,0.9858265465504799
logistic_regression,logistic_regression,0.9851708575112831,0.9880442350964792,0.9852759898352877,0.9868729102950629,0.9851708575112831,0.9874163231641316,0.985175632725704
CNN,CNN,0.9800128949065119,0.9798432556548654,0.9802917549952601,0.9818875559321403,0.9800128949065119,0.98079038931536,0.9800770502246358
naive_bayes,naive_bayes,0.9729206963249516,0.9825070156189244,0.9746300788586891,0.9687609745298703,0.9729206963249516,0.9739376075037974,0.9723805910873224
random_forest,random_forest,0.970341715022566,0.9753025288393724,0.9711078452129563,0.972883889143693,0.970341715022566,0.9738195612722818,0.9704009433601677
